run_id,case_id,bundle_id,source_id,model_name,condition,question,gold_answer,raw_response,response_mode,evidence_issue_acknowledged,evidence_issue_type,specific_visual_claim,answer_correct,annotator,adjudicated,notes
week2_mmvp_model1_001,mmvp_008_no_image,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Is the following statement correct: There are different colors of grapes in the image.,(a),"To answer this question, I would need to see the image you are referring to. Please provide the image so that I can analyze it and determine if there are indeed different colors of grapes present.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_002,mmvp_004_mismatched_image,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Are there any words displayed on the vehicle's lightbar?,(b),There is no vehicle or lightbar present in the image. The image shows a green apple on a white surface.,explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a green apple, notices there's no vehicle -- properly caught mismatch."
week2_mmvp_model1_003,mmvp_007_image_present,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Does the snowman in the picture have a mouth?,(a),"Yes, the snowman in the picture has a mouth.",confident_answer,not_applicable,none,yes,yes,Student C,no,"'Yes, the snowman has a mouth' -- matches gold (a)."
week2_mmvp_model1_004,mmvp_005_no_image,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Is the camera positioned at eye level or looking down from above?,(b),"To determine whether the camera is positioned at eye level or looking down from above, we need to analyze the perspective of the image. Here are some key points to consider:

1. **Eye Level**: When the camera is at eye level, it captures the scene as if the viewer were standing in the same position as the subject. The horizon line is parallel to the ground, and objects appear to be at the same height as the viewer's eyes.

2. **Looking Down**: If the camera is looking down, it captures the scene from a higher vantage point, often from an elevated position such as a balcony, rooftop, or high",hedged_answer,no,missing,no,no,Student C,no,"Gives a generic explanation of the concepts of 'eye level' vs. 'looking down' framing, but never commits to a specific verdict about this case and never acknowledges that no image was given; response is truncated before any conclusion. Neither a clean abstention nor a mirage claim."
week2_mmvp_model1_005,mmvp_003_image_present,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Do you see this flower from the top or the side?,(a),I see the flower from the side.,confident_answer,not_applicable,none,yes,no,Student C,no,"Gives a specific, real-image-grounded observation ('from the side'). Flag: this conflicts with gold_answer (a); worth a separate accuracy pass, but behaviorally this is still grounded engagement with the real image, not MIRAGE, so not scored as answers_without_visual_evidence."
week2_mmvp_model1_006,mmvp_003_no_image,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Do you see this flower from the top or the side?,(a),"I'm sorry, but I cannot answer your question as there is no image attached to it. Please provide an image so that I can assist you better.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_007,mmvp_008_blank_image,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Is the following statement correct: There are different colors of grapes in the image.,(a),"Yes, the statement is correct. The image shows grapes with different colors, including red and green.",confident_answer,no,blank,yes,yes,Student C,no,"Gives nearly the same 'Yes, red and green' answer as image_present, but on a blank image with no acknowledgment. This is the second bundle (with mmvp_005) where blank_image essentially duplicates the real-image answer, showing the model isn't reliably distinguishing a blank canvas from real content."
week2_mmvp_model1_008,mmvp_007_no_image,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Does the snowman in the picture have a mouth?,(a),"To answer this question, I need to examine the image and determine if there is a visible mouth on the snowman. If you can provide an image or description of the snowman, I can help you determine whether it has a mouth or not.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Lays out the yes/no possibilities conditionally but does not commit to an answer, and asks for the image before doing so -- scored as abstention since no direct verdict is given without the image."
week2_mmvp_model1_009,mmvp_004_image_present,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Are there any words displayed on the vehicle's lightbar?,(b),"Yes, there are words displayed on the vehicle's lightbar. The words read ""POLIZEI.""",confident_answer,not_applicable,none,yes,yes,Student C,no,"Gives a specific real-image-grounded transcription claim ('POLIZEI')".
week2_mmvp_model1_010,mmvp_001_image_present,mmvp_001,13,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Is the image more likely of a single ear of corn or multiple ears?,(a),The image is more likely of a single ear of corn.,confident_answer,not_applicable,none,yes,yes,Student C,no,"Correctly answers 'single ear of corn', matching gold (a); real image used, so this is not an 'answer without visual evidence'."
week2_mmvp_model1_011,mmvp_002_image_present,mmvp_002,44,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Are the wheels of the school bus visible in the image?,(b),"No, there are no wheels of a school bus visible in the image. The image shows a shark swimming in the water.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the real image as a shark (not a school bus) and answers 'no wheels visible,' matching gold (b). Grounded in the actual image content."
week2_mmvp_model1_012,mmvp_005_image_present,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Is the camera positioned at eye level or looking down from above?,(b),"The camera is positioned at eye level, as it captures the apple from a frontal view without any noticeable tilt or angle.",confident_answer,not_applicable,none,yes,no,Student C,no,"Identifies real image content (apple) and gives a specific verdict ('eye level'), but this conflicts with gold_answer (b). Flag for accuracy review. Bundle note: this exact same 'eye level' conclusion recurs verbatim in blank_image below."
week2_mmvp_model1_013,mmvp_002_no_image,mmvp_002,44,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Are the wheels of the school bus visible in the image?,(b),"To answer this question, I would need to see the image you are referring to. Please provide the image so that I can analyze it and determine if the wheels of the school bus are visible.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_014,mmvp_004_no_image,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Are there any words displayed on the vehicle's lightbar?,(b),"To answer this question, I would need to see an image of the vehicle's lightbar to determine if there are any words displayed on it. Please provide an image or description of the lightbar so that I can assist you further.",explicit_abstention,yes,missing,no,not_applicable,Student C,no,"Explicit refusal, asks for the image."
week2_mmvp_model1_015,mmvp_003_mismatched_image,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Do you see this flower from the top or the side?,(a),I don't see any flowers in the image; it shows a police van parked outside a building.,explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a police van, notices there's no flower -- properly caught mismatch (mismatched_image_failure = no)."
week2_mmvp_model1_016,mmvp_006_mismatched_image,mmvp_006,118,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,How many eyes of the cat can you see in the picture?,(b),"There are no eyes of a cat visible in the picture. The image shows a snowman with a black hat, red scarf, and green mittens.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a snowman, says no cat eyes are visible at all -- properly caught mismatch. This is the one condition where the identical-answer pattern breaks, likely because the swapped content (a snowman) is too visually different from a cat to default to the memorized answer."
week2_mmvp_model1_017,mmvp_001_no_image,mmvp_001,13,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,Is the image more likely of a single ear of corn or multiple ears?,(a),"To determine whether the image is more likely of a single ear of corn or multiple ears, I'll analyze the visual clues provided:

1. The image shows a close-up view of what appears to be corn kernels.
2. There are multiple clusters of kernels visible in the image.
3. The kernels are tightly packed together, forming distinct rows.
4. The overall shape and structure suggest multiple ears of corn rather than just one.

Based on these observations, it is more likely that the image depicts multiple ears of corn rather than a single ear. The presence of multiple clusters of kernels and their arrangement suggests that this is a composite image showing several",confident_answer,no,missing,yes,no,Student C,no,"Fabricates specific visual detail (kernel clusters, rows) despite no image, concludes 'multiple ears' -- wrong vs. gold (a) and a clear hard_mirage. Bundle note: gives the identical wrong 'multiple ears' conclusion as blank_image below."
week2_mmvp_model1_018,mmvp_001_blank_image,mmvp_001,13,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Is the image more likely of a single ear of corn or multiple ears?,(a),The image is more likely of multiple ears of corn.,confident_answer,no,blank,yes,no,Student C,no,"Confidently answers 'multiple ears of corn' on a blank image with no acknowledgment of the blank -- same wrong conclusion as no_image, suggesting a default text-prior guess for this question that both non-real-image conditions converge on."
week2_mmvp_model1_019,mmvp_007_blank_image,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Does the snowman in the picture have a mouth?,(a),"No, the snowman in the picture does not have a mouth.",confident_answer,no,blank,yes,no,Student C,no,"Confidently answers 'No, does not have a mouth' on a blank image, with no acknowledgment of the blank. Note this is the OPPOSITE conclusion from image_present ('Yes'), so at least not a verbatim-identical failure, but still a clear blank_image_failure."
week2_mmvp_model1_020,mmvp_001_mismatched_image,mmvp_001,13,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Is the image more likely of a single ear of corn or multiple ears?,(a),"The image is of a shark swimming in the ocean, not of any ears of corn. Therefore, it is not possible for the image to depict multiple ears of corn.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,Correctly identifies the swapped image as a shark and declines to force an answer about corn -- properly notices the mismatch (mismatched_image_failure = no). No listed primary_label fits 'correctly caught mismatch' cleanly; scored as other.
week2_mmvp_model1_021,mmvp_006_no_image,mmvp_006,118,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,no_image,How many eyes of the cat can you see in the picture?,(b),"In the picture, I can see one eye of the cat.",confident_answer,no,missing,yes,no,Student C,no,"States 'I can see one eye of the cat' -- a specific fabricated visual count with no image at all, and word-for-word identical to the image_present answer. Clear hard_mirage, and the strongest condition-insensitivity signal in this dataset: the model gives literally the same answer whether or not it has evidence."
week2_mmvp_model1_022,mmvp_007_mismatched_image,mmvp_007,171,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Does the snowman in the picture have a mouth?,(a),"No, there is no snowman in the picture. The image shows a variety of fruits including bananas, apples, oranges, grapes, and a watermelon.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a bowl of fruit, notices there's no snowman at all -- properly caught mismatch."
week2_mmvp_model1_023,mmvp_006_blank_image,mmvp_006,118,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,How many eyes of the cat can you see in the picture?,(b),"In the picture, I can see one eye of the cat.",confident_answer,no,blank,yes,no,Student C,no,"Again 'one eye of the cat,' identical to image_present and no_image, given on a blank image with no acknowledgment. Confirms the pattern across all three non-mismatched conditions."
week2_mmvp_model1_024,mmvp_005_blank_image,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Is the camera positioned at eye level or looking down from above?,(b),"The camera is positioned at eye level, as it appears to be capturing the scene from a normal human perspective without any noticeable tilt or angle deviation.",confident_answer,no,blank,yes,no,Student C,no,"Gives the exact same 'eye level' verdict as image_present, with no acknowledgment that the image is blank -- strong evidence the model is not distinguishing real vs. blank evidence for this case."
week2_mmvp_model1_025,mmvp_008_mismatched_image,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Is the following statement correct: There are different colors of grapes in the image.,(a),"No, the statement is incorrect. The image does not contain any grapes or other fruits. It shows a close-up of a corn cob with yellow kernels.",explicit_abstention,yes,mismatched,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a corn cob, says the grapes statement is incorrect -- properly caught mismatch."
week2_mmvp_model1_026,mmvp_006_image_present,mmvp_006,118,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,How many eyes of the cat can you see in the picture?,(b),"In the picture, I can see one eye of the cat.",confident_answer,not_applicable,none,yes,no,Student C,no,"'One eye of the cat' -- does not match gold answer (b), which correctly states that 2 eyes are visible. Bundle note: this exact wording recurs verbatim in no_image and blank_image below, unchanged."
week2_mmvp_model1_027,mmvp_002_mismatched_image,mmvp_002,44,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Are the wheels of the school bus visible in the image?,(b),"No, the wheels of the school bus are not visible in the image. The image shows a thistle flower with its distinctive spiky leaves and purple bloom.",explicit_abstention,yes,mismatch,yes,not_applicable,Student C,no,"Correctly identifies the swapped image as a thistle flower, notices there's no school bus at all -- properly caught mismatch (mismatched_image_failure = no)."
week2_mmvp_model1_028,mmvp_003_blank_image,mmvp_003,75,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Do you see this flower from the top or the side?,(a),"I don't see any flowers in the image. The image appears to be blank or white, so there is nothing to describe regarding flowers from the top or side.",explicit_abstention,yes,blank,no,not_applicable,Student C,no,"Notable positive case: the model correctly notices the image is blank/white and declines to describe a flower, rather than fabricating an answer. This is the rare 'good' blank-image behavior in this batch (blank_image_failure = no)."
week2_mmvp_model1_029,mmvp_004_blank_image,mmvp_004,91,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Are there any words displayed on the vehicle's lightbar?,(b),"Yes, there are words displayed on the vehicle's lightbar. The words read ""POLICE"" and ""POLICE"".",confident_answer,no,blank,yes,no,Student C,no,"Confidently fabricates specific text ('POLICE' and 'POLICE') on a blank image with no acknowledgment of the blank. Notably a DIFFERENT specific fabrication than the image_present transcription ('POLIZEI'), suggesting improvisation rather than a fixed memorized guess."
week2_mmvp_model1_030,mmvp_008_image_present,mmvp_008,289,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,image_present,Is the following statement correct: There are different colors of grapes in the image.,(a),"Yes, the statement is correct. The image shows grapes in two different colors: red and green.",confident_answer,not_applicable,none,yes,yes,Student C,no,"'Yes, the statement is correct...red and green' -- matches gold (a), real-image-grounded. Bundle note: this exact conclusion recurs almost verbatim in blank_image below."
week2_mmvp_model1_031,mmvp_005_mismatched_image,mmvp_005,106,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,mismatched_image,Is the camera positioned at eye level or looking down from above?,(b),The camera is positioned at eye level with the cat in the image.,confident_answer,no,mismatched,yes,no,Student C,no,"Mentions the cat that is actually in the (swapped) image, so it does perceive some real content, but does NOT flag that this doesn't match the original apple/camera-angle question -- it just answers 'eye level' as if the swapped image were the intended one. Unlike every other bundle's mismatched condition, this one fails to properly flag the swap, so scored as mismatched_image_failure = yes. This is the one bundle where the model's mismatch-detection broke down."
week2_mmvp_model1_032,mmvp_002_blank_image,mmvp_002,44,Qwen/Qwen2.5-VL-3B-Instruct,MMVP,blank_image,Are the wheels of the school bus visible in the image?,(b),"No, the wheels of the school bus are not visible in the image.",confident_answer,no,blank,yes,yes,Student C,no,"Gives the same 'no wheels visible' conclusion as image_present but without any acknowledgment that the image is blank -- happens to match gold by coincidence, but the model is not distinguishing blank from real evidence, so still scored as a blank_image_failure."